address.streetAddress,address.city,address.state,address.zipcode,zpid,propertyTypeDimension,yearBuilt,county,livingArea,rentZestimate,monthlyHoaFee,price,url,datePosted,resoFacts.daysOnZillow,attributionInfo.trueStatus,imgSrc,bedrooms,bathrooms,longitude,latitude,description,rentAverage
308 Kerry Drive,Richmond Hill,GA,31324,295219178,Single Family,2018,Bryan,3084,3329,21,585000,/homedetails/308-Kerry-Dr-Richmond-Hill-GA-31324/295219178_zpid/,3/27/2026,26,,https://photos.zillowstatic.com/fp/add76f2e8f3fb19e911e6de568445901-p_d.jpg,5,3,-81.25212,31.825573,"If you’re looking for room to spread out without giving up everyday convenience near Savannah, 308 Kerry Dr. in Richmond Hill’s Kenmare neighborhood offers the space and flexibility many buyers search for. Set on a flat .82-acre lot, this home provides generous room sizes throughout and a layout designed to adapt as life changes.

Inside, you’ll find flexible spaces right from the entry, with rooms featuring custom trim and large windows that work well as a formal dining areas or private offices. The main living room centers around a fireplace with tile surround and built-ins, and opens into a bright, custom kitchen with an oversized island with seating, granite countertops, stainless appliances, and a corner pantry. The layout keeps everything connected while still offering defined spaces for daily living.

A bedroom and full bath on the main floor provide a true guest suite or flexible option for multi-generational living. Upstairs, the primary suite features vaulted ceilings, a spacious bath with dual vanities, a separate tub and shower, and direct access to a custom closet large enough for its own island. Additional bedrooms are generously sized and share a hall bath with dual vanities, while a bonus room with double doors and a closet offers the option for a media room, playroom, or that sought-after 5th bedroom.

Outdoor living is just as functional. A spacious screened room overlooks the fully fenced backyard and green space beyond, offering privacy and room to relax or entertain. The two-car garage adds everyday convenience and storage.

Located just minutes from Richmond Hill’s schools, Fisherman's Co-op boat ramp/dock/trails, and this home supports commuting to Hunter AAF, Fort Stewart, Gulfstream, and the Hyundai Metaplant and other employers throughout the greater Savannah area.

For buyers relocating to Coastal Georgia, this home offers flexible living space, large rooms, and outdoor space that make long-term living feel easy and comfortable.",2900
46 Cherry Laurel Way,Richmond Hill,GA,31324,111240159,Single Family,2001,Bryan,1400,,,1100000,/homedetails/46-Cherry-Laurel-Way-Richmond-Hill-GA-31324/111240159_zpid/,11/19/2025,153,,https://photos.zillowstatic.com/fp/b7d20206b0e63008e7d6caaaf9a54563-p_d.jpg,3,2,-81.28623,31.932209,"A Captivating Lowcountry Escape in The Ford Field & River Club. Tucked beneath sweeping moss-draped oaks, this charming 3-bedroom, 2-bath Lowcountry cottage captures the essence of timeless Southern beauty. Spanning 1,400 square feet across two inviting levels, the home blends classic architecture with modern comfort, ideally positioned just steps from the Clubhouse and Village within one of the South's most prestigious private enclaves.Step inside to a dramatic vaulted great room filled with natural light and wrapped in warmth, where rich textures and elegant details define every corner. The kitchen, complete with stainless steel appliances and custom cabinetry, flows effortlessly into the main living space, perfect for easy gatherings or quiet moments by the fire.The screened-in porch invites you to slow down and take in the serenity of the surrounding landscape, morning coffee beneath the oaks, sunset cocktails, or long, unhurried evenings spent listening to the sounds of nature. Upstairs and down, each bedroom is a serene retreat, complemented by spa-inspired baths and refined Lowcountry design elements. A welcoming front porch frames the home with enduring charm and makes every arrival feel like a homecoming.Formed by 1,800 acres of storied land and waterways, The Ford Field & River Club is a private residential golf and sporting community along Georgia's great Ogeechee River, where Southern hospitality meets modern luxury. Here, life moves with the rhythm of the tides: mornings spent casting a line from the Deepwater Marina, afternoons on the Pete Dye championship golf course, and evenings riding through oak-shaded trails from the Equestrian Center.Anchored by the historic 7,000-square-foot Main House, once the Lowcountry dream home of Clara and Henry Ford, this community celebrates tradition and elegance at every turn. From its 36-slip marina and award-winning golf course to the Naturalist Center, gardens, and charming architectural enclaves, The Ford offers an experience that transcends the ordinary.To live here is to embrace a one-of-a-kind expression of Southern style, a place where every sunrise feels unhurried, every evening lingers a little longer, and every detail reflects the art of Lowcountry living.",2100
"Stardom Plan, Waterways",Richmond Hill,GA,31324,457041309,Single Family,2026,Bryan,2174,2813,,447990,/community/waterways/457041309_zpid/,2/13/2026,67,,https://photos.zillowstatic.com/fp/f0b33d728af4f609b38f509d30b3e896-p_d.jpg,2,3,-81.195015,31.862394,"Discover the Stardom floor plan in Richmond Hill, GA, where function meets style. This new home design features an open layout with a spacious kitchen overlooking a tray-ceiling gathering room and a covered lanai. Screen your patio or add a pool bath to enjoy effortless indoor-outdoor living. The private Owner's Suite with a walk-in closet adds comfort and convenience.",1500
80 Washington Way,Richmond Hill,GA,31324,2076826754,Single Family,2020,Bryan,3167,3731,290,699000,/homedetails/80-Washington-Way-Richmond-Hill-GA-31324/2076826754_zpid/,3/6/2026,47,,https://photos.zillowstatic.com/fp/0cd5be0e40efd46256af1a4c869041aa-p_d.jpg,5,4,-81.18821,31.846006,"NEW PRICE- OPEN House this Sunday, Located in the desirable Waterways Township, this stunning home showcases high-end finishes, thoughtful design, elegant coastal style throughout. Step inside to a welcoming foyer that opens to a bright and inviting open-concept floor plan, perfect for both everyday living and entertaining. The heart of the home features a beautifully designed kitchen with a sophisticated backsplash, designer lighting, and chic paint colors that create a warm and inviting atmosphere. The spacious living area is anchored by a heart pine accent electric fireplace, adding character and Lowcountry charm. Owner’s suite on main level offers comfort & privacy, creating a relaxing retreat within the home. Upstairs, you’ll find four additional bedrooms and two full baths, including a private guest suite with its own bath and walk-in closet—perfect for visitors or extended family. One of the most enchanting features of the home is the fairytale-style second-level porch, offering a peaceful space to relax and enjoy the surrounding beauty. A welcoming foyer introduces the home’s bright and airy open floor plan, where thoughtful design and elegant details create a warm, sophisticated atmosphere. Additional features include, butler pantry/coffee bar and desk area that opens onto a private screened porch that flows into a fenced backyard area, also the side entry double car garage that has a private entrance with builtin bench and cubbies plus a huge laundry with cabnetry and sink area. Fresh paint, floors, window coverings and well cared for home that makes this  home ready for you. A perfect blend of  modern style with timeless Southern character, Residents of Waterways enjoy incredible amenities and a lifestyle surrounded by nature, all just a short drive to Savannah, airport, historical Coastal Georgia Coastline to enjoy and beyond!",2900
15 Egrets Way Lane,Richmond Hill,GA,31324,76359749,Single Family,1999,Bryan,2238,,100,464900,/homedetails/15-Egrets-Way-Ln-Richmond-Hill-GA-31324/76359749_zpid/,3/14/2026,39,,https://photos.zillowstatic.com/fp/68647ac225bc3e4d8988fc7a8c0e8fe0-p_d.jpg,3,3,-81.325516,31.835958,"PRICE ADJUSTMENT! Beautifully maintained original-owner home situated on a .53-acre corner lot. This inviting property features a welcoming foyer, a separate formal dining room, and an eat-in kitchen perfect for everyday living. The living room boasts a vaulted ceiling and a cozy wood-burning fireplace, creating a warm and open gathering space. French doors lead to a screened porch, ideal for relaxing or entertaining while enjoying the outdoors.

The thoughtfully designed split floor plan offers two bedrooms on the main level along with a spacious primary suite featuring an updated en-suite bathroom and walk-in closet. Upstairs, you’ll find a large bonus room with a half bath, perfect for a home office, guest space, or media room.

Additional highlights include a newer roof, a two-car garage, and plenty of outdoor space on the generous lot.

Conveniently located near the new I-95 exit and just a short drive to Ft. Stewart, the community also offers fantastic amenities including a pool and a boat dock with ramp, providing the perfect blend of comfort, convenience, and recreation.",2100
86 Sandy Bend Drive,Richmond Hill,GA,31324,451091289,Single Family,2025,Bryan,2174,2798,260,599999,/homedetails/86-Sandy-Bend-Dr-Richmond-Hill-GA-31324/451091289_zpid/,6/29/2025,297,,https://photos.zillowstatic.com/fp/df166cee313adc5e4077bd26f0a9e02a-p_d.jpg,3,3,-81.28844,31.872051,"Home is PROPOSED construction! Stunning Saltwater marsh views- This remarkable home features a spacious open floorplan concept that offers up to 4 bedrooms with a dedicated study/flex space. The screened lanai option is perfect for entertaining and enjoying the outdoors. The primary bedroom boasts a spacious walk-in closet, ensuring plenty of storage space for all your needs! Don’t miss the opportunity to build this beautiful home with its desirable features all within the gated community of Waterways! Pictures, photographs, colors, features, and sizes are for illustration purposes only and will vary from the homes as built. 2- 4 Bd",2100
"The Dalton Plan, McAllister Pointe",Richmond Hill,GA,31324,448662479,Single Family,2026,Bryan,2575,3032,,461900,/community/mcallister-pointe/448662479_zpid/,2/9/2026,72,,https://photos.zillowstatic.com/fp/7c6e6858b54b879b6f75fc67cc0f6202-p_d.jpg,4,3,-81.26403,31.889456,"The Dalton, part of the Georgian Collection, maximizes its 2,575 square feet with a layout designed for both formal and casual living. Off the foyer, a formal dining room and separate living room or study provide flexibility, while the great room flows into the kitchen and breakfast area, separated by a raised bar ledge.
Upstairs, you'll find three secondary bedrooms, a full bath, laundry room, and an expansive primary suite featuring a sitting area, garden tub, separate shower, double vanities, and two walk-in closets.
Perfect for buyers looking for spacious new construction homes in Coastal Georgia, the Dalton blends traditional charm with modern open living in communities throughout the Brunswick, Kingsland, and Savannah areas.",2650
"Mitchell Plan, Waterways",Richmond Hill,GA,31324,457041270,Single Family,2026,Bryan,2956,3214,,465990,/community/waterways/457041270_zpid/,3/9/2026,44,,https://photos.zillowstatic.com/fp/d16eeccbb2e0fc46cd89fe8d03366711-p_d.jpg,4,3,-81.195015,31.862394,"Step into the Mitchell floor plan in Richmond Hill, GA, and experience a new home design that perfectly complements your lifestyle. Enjoy the open kitchen, café, and gathering room ideal for hosting or relaxing. The spacious upstairs loft and Owner's Suite with a walk-in closet offer added convenience. Discover how this new construction blends comfort and flexibility for modern living.",2650
781 Dublin Dr,Richmond Hill,GA,31324,111240198,Single Family,2021,Bryan,5862,,,4175000,/homedetails/781-Dublin-Dr-Richmond-Hill-GA-31324/111240198_zpid/,11/7/2025,165,,https://photos.zillowstatic.com/fp/0b86471b25621e7f506acd89e0bee69c-p_d.jpg,6,7,-81.28319,31.922394,"Where Lowcountry beauty meets timeless design, this custom-built estate at The Ford Field & River Club tells a story of Southern grace and quiet luxury. Set on 5.5 private acres with serene water and golf course views, the home welcomes you with wide porches, grand oaks, and peaceful natural surroundings. Inside, every detail reflects comfort and craftsmanship-from the gourmet kitchen and formal dining area to two cozy fireplaces perfect for Lowcountry evenings. The main house offers three bedrooms, including a serene primary suite with dual walk-in closets and a spa-like bath. Just beyond, a beautifully appointed guest house provides three more bedrooms, a full kitchen, and inviting living spaces-ideal for hosting family and friends. Here, mornings begin with golden light over the marsh and days unfold with golf, equestrian adventures, and waterfront pursuits-all within one of the South's most exclusive and storied communities. (Main residence was built in 2021, guest house was built in 1999)",
115 Golden Rod Loop,Richmond Hill,GA,31324,119713506,Single Family,2012,Bryan,2133,2391,63,424900,/homedetails/115-Golden-Rod-Loop-Richmond-Hill-GA-31324/119713506_zpid/,3/11/2026,42,,https://photos.zillowstatic.com/fp/a344777dac9e4e5c3848458f540c3da2-p_d.jpg,4,3,-81.30565,31.923172,"Nestled on a quiet cul-de-sac, this beautifully maintained home offers comfort, convenience, and valuable upgrades. A brand-new roof installed in 2024 provides peace of mind, while the spacious two-car garage and oversized driveway ensure plenty of parking for family and guests. Inside, you’ll love the functional layout featuring a primary bedroom on the main floor for easy living and added privacy, complete with a newly updated shower in the primary bathroom. The bright living spaces flow seamlessly, creating a warm and inviting atmosphere perfect for both relaxing and entertaining. Ample storage throughout the home adds everyday convenience and functionality. Step outside to enjoy the fully fenced backyard—ideal for pets, play, or hosting gatherings. Located close to local schools, shopping, dining, and all that Richmond Hill has to offer, this property combines value, location, and thoughtful features in one exceptional package. Don’t miss your chance to call this charming home yours!",2650
